Time,Engine_Load,Coolant_Temperature,Engine_Speed,Vehicle_Speed,Manifold_Relative_Pressure
63.382,17.647,88,894.25,16,-0.694
63.532,17.255,88,900.75,16,-0.694
63.642,18.824,88,895.75,16,-0.694
63.763,19.608,88,903.0,16,-0.694
63.885,20.0,88,916.25,16,-0.694
64.019,19.608,88,912.25,16,-0.694
64.154,20.392,88,916.0,16,-0.694
64.287,25.098,88,909.25,16,-0.673
64.414,24.314,88,924.25,16,-0.653
64.557,23.922,88,907.25,16,-0.643
64.688,25.49,88,896.25,16,-0.632
64.814,27.059,88,900.75,17,-0.622
64.948,38.431,88,979.5,16,-0.581
65.076,35.686,88,1138.5,16,-0.541
65.198,31.373,88,1135.0,17,-0.541
65.337,30.588,88,1069.5,17,-0.541
65.448,29.804,88,1137.25,17,-0.541
65.558,29.02,88,1139.25,17,-0.551
65.687,30.196,88,1118.75,17,-0.551
65.81,34.902,88,1161.75,17,-0.541
65.935,48.235,88,1176.0,18,-0.49
66.044,50.98,88,1179.0,18,-0.428
66.18,65.882,88,1200.0,18,-0.275
66.316,68.627,88,1234.0,19,-0.194
66.451,65.098,88,1260.75,19,-0.133
66.559,63.922,88,1290.25,20,-0.112
66.686,58.039,88,1327.0,20,-0.102
66.801,59.608,88,1378.25,21,-0.092
66.927,58.431,88,1402.25,21,-0.092
67.056,58.824,88,1453.75,22,-0.092
67.184,57.647,88,1481.75,22,-0.092
67.307,54.902,88,1520.25,23,-0.092
67.417,56.471,88,1556.0,24,-0.092
67.528,54.51,88,1609.25,24,-0.082
67.654,51.373,88,1626.75,24,-0.082
67.796,55.294,88,1679.75,25,-0.082
67.919,55.294,88,1731.0,26,-0.082
68.029,54.51,88,1769.25,27,-0.082
68.152,54.118,88,1806.75,27,-0.082
68.302,51.765,88,1843.75,28,-0.082
68.425,50.588,88,1889.5,29,-0.092
68.561,49.412,88,1914.75,29,-0.102
68.687,48.627,88,1955.75,30,-0.112
68.825,35.686,88,1992.25,30,-0.184
68.952,23.137,88,2011.25,31,-0.296
69.063,19.216,88,2047.25,31,-0.408
